AdditionBudget,RemovalBudget,PerturbationStrategy,PerturbedTestFScores,TruePositive,FalseNegative,FalsePositive,DistanceMetric,DegreeMetric,PerturbedHomophily
0.5,0.0,add,"[0.25730994, 0.44252872, 0.5672878, 0.44646922, 0.6688418, 0.6287129, 0.5018584132194519]","[22, 77, 411, 98, 205, 127]","[79, 174, 11, 223, 165, 120]","[48, 20, 616, 20, 38, 30]",9.273842001583654,3.450636942675159,0.5272879932829555
0.5,0.0,add,"[0.2366864, 0.40345824, 0.5600549, 0.42723006, 0.69206345, 0.6075949, 0.4878480136394501]","[20, 70, 408, 91, 218, 120]","[81, 181, 14, 230, 152, 127]","[48, 26, 627, 14, 42, 28]",9.350946329593079,3.428723404255319,0.524097397145256
0.5,0.0,add,"[0.24864864, 0.47910866, 0.5632823, 0.42227378, 0.6467661, 0.60294116, 0.49383679032325745]","[23, 86, 405, 91, 195, 123]","[78, 165, 17, 230, 175, 124]","[61, 22, 611, 19, 38, 38]",9.308502964522297,3.516835916622127,0.5217464315701091
0.5,0.0,add,"[0.26966292, 0.43148687, 0.5774947, 0.472973, 0.6970173, 0.606357, 0.5091652870178223]","[24, 74, 408, 105, 222, 124]","[77, 177, 14, 216, 148, 123]","[53, 18, 583, 18, 45, 38]",9.372813592383013,3.439935931660438,0.5301427371956339
0.5,0.0,add,"[0.29069766, 0.4668588, 0.5748086, 0.50446427, 0.68064517, 0.61, 0.5212457180023193]","[25, 81, 413, 113, 211, 122]","[76, 170, 9, 208, 159, 125]","[46, 15, 602, 14, 39, 31]",9.320070202205528,3.479378682378147,0.5311502938706969
0.5,0.0,add,"[0.24175823, 0.48467973, 0.5774947, 0.43478262, 0.6903226, 0.6198547, 0.508148729801178]","[22, 87, 408, 95, 214, 128]","[79, 164, 14, 226, 156, 119]","[59, 21, 583, 21, 36, 38]",9.396045114814886,3.483128012854847,0.5264483627204031
0.5,0.0,add,"[0.26035503, 0.43943664, 0.5670605, 0.45766592, 0.6796117, 0.59605914, 0.5000314712524414]","[22, 78, 408, 100, 210, 121]","[79, 173, 14, 221, 160, 126]","[46, 26, 609, 16, 38, 38]",9.365937059425637,3.4705882352941178,0.5225860621326617
0.5,0.0,add,"[0.295858, 0.49014086, 0.5724283, 0.4832215, 0.67423016, 0.59950864, 0.5192312598228455]","[25, 87, 409, 108, 208, 122]","[76, 164, 13, 213, 162, 125]","[43, 17, 598, 18, 39, 38]",9.374209428532803,3.4748931623931623,0.5227539882451722
0.5,0.0,add,"[0.23280422, 0.42406878, 0.5748587, 0.47930285, 0.66225165, 0.57493854, 0.4913707971572876]","[22, 74, 407, 110, 200, 117]","[79, 177, 15, 211, 170, 130]","[66, 24, 587, 28, 34, 43]",9.283807914405454,3.510559662090813,0.5224181360201511
0.5,0.0,add,"[0.29896906, 0.4508671, 0.5796897, 0.46846843, 0.7203791, 0.62724936, 0.5242704749107361]","[29, 78, 411, 104, 228, 122]","[72, 173, 11, 217, 142, 125]","[64, 17, 585, 19, 35, 20]",9.327155217366114,3.4617044228694716,0.52544080604534
0.5,0.0,add,"[0.27160493, 0.47486037, 0.57403505, 0.50446427, 0.66883117, 0.6313253, 0.5208535194396973]","[22, 85, 409, 113, 206, 131]","[79, 166, 13, 208, 164, 116]","[39, 22, 594, 14, 40, 37]",9.33563124046428,3.4848161960575386,0.528463476070529
0.5,0.0,add,"[0.26229507, 0.46067417, 0.56842107, 0.44907406, 0.6805779, 0.63209873, 0.5088568329811096]","[24, 82, 405, 97, 212, 128]","[77, 169, 17, 224, 158, 119]","[58, 23, 598, 14, 41, 30]",9.302393537920778,3.4846072186836516,0.5242653232577665
0.5,0.0,add,"[0.26229507, 0.3942029, 0.56805557, 0.4325581, 0.65161294, 0.5714286, 0.4800255298614502]","[24, 68, 409, 93, 202, 116]","[77, 183, 13, 228, 168, 131]","[58, 26, 609, 16, 48, 43]",9.394229127638617,3.45864262990456,0.5185558354324098
0.5,0.0,add,"[0.23783784, 0.43502828, 0.57905835, 0.490991, 0.6918239, 0.5863874, 0.5035211443901062]","[22, 77, 412, 109, 220, 112]","[79, 174, 10, 212, 150, 135]","[62, 26, 589, 14, 46, 23]",9.468639120106607,3.4736562001064395,0.5272879932829555
0.5,0.0,add,"[0.28387097, 0.44943824, 0.5702247, 0.4923077, 0.71987486, 0.643038, 0.5264590978622437]","[22, 80, 406, 112, 230, 127]","[79, 171, 16, 209, 140, 120]","[32, 25, 596, 22, 39, 21]",9.362443751327758,3.458043826830572,0.5239294710327456
0.5,0.0,add,"[0.23728813, 0.42735046, 0.57263154, 0.47855532, 0.69243157, 0.65356266, 0.510303258895874]","[21, 75, 408, 106, 215, 133]","[80, 176, 14, 215, 155, 114]","[55, 25, 595, 16, 36, 27]",9.35235945074258,3.4484783769353977,0.5264483627204031
0.5,0.0,add,"[0.28901735, 0.45454547, 0.5714286, 0.4590909, 0.698052, 0.60349125, 0.512604296207428]","[25, 80, 412, 101, 215, 121]","[76, 171, 10, 220, 155, 126]","[47, 21, 608, 18, 31, 33]",9.323600397844686,3.4581521739130436,0.5249370277078086
